parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
fkl010y1;"Böenspitze (Sekundenböe); Jahresmaximum in m/s";"Rafale (intégration 1 s); maximum annuel en m/s";"Raffica del vento (su un secondo); massima annuale in m/s";"Gust peak (one second); annual maximum in m/s";Wind;vent;vento;wind;Y;1;Float;m/s
fkl010z0;"Windgeschwindigkeit skalar; Zehnminutenmittel in m/s";"Vitesse du vent scalaire; moyenne sur 10 minutes en m/s";"Velocità del vento scalare; media su 10' in m/s";"Wind speed scalar; ten minutes mean in m/s";Wind;vent;vento;wind;T;1;Float;m/s
fkl010z1;"Böenspitze (Sekundenböe); Maximum in m/s";"Rafale (intégration 1 s); maximum en m/s";"Raffica del vento (su un secondo); massima in m/s";"Gust peak (one second); maximum in m/s";Wind;vent;vento;wind;T;1;Float;m/s
fkl010z3;"Böenspitze (3-Sekundenböe); Maximum in m/s";"Rafale (intégration 3 s); maximum en m/s";"Raffica del vento (su tre secondi); massima in m/s";"Gust peak (three seconds); maximum in m/s";Wind;vent;vento;wind;T;1;Float;m/s
fu3010d0;"Windgeschwindigkeit skalar; Tagesmittel in km/h";"Vitesse du vent scalaire; moyenne journalière en km/h";"Velocità del vento scalare; media giornaliera in km/h";"Wind speed scalar; daily mean in km/h";Wind;vent;vento;wind;D;1;Float;km/h
fu3010d1;"Böenspitze (Sekundenböe); Tagesmaximum in km/h";"Rafale (intégration 1 s); maximum journalier en km/h";"Raffica del vento (su un secondo); massima giornaliera in km/h";"Gust peak (one second); daily maximum in km/h";Wind;vent;vento;wind;D;1;Float;km/h
fu3010d3;"Böenspitze (3-Sekundenböe); Tagesmaximum in km/h";"Rafale (intégration 3 s); maximum journalier en km/h";"Raffica del vento (su tre secondi); massima giornaliera in km/h";"Gust peak (three seconds); daily maximum in km/h";Wind;vent;vento;wind;D;1;Float;km/h
fu3010h0;"Windgeschwindigkeit skalar; Stundenmittel in km/h";"Vitesse du vent scalaire; moyenne horaire en km/h";"Velocità del vento scalare; media oraria in km/h";"Wind speed scalar; hourly mean in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3010h1;"Böenspitze (Sekundenböe); Stundenmaximum in km/h";"Rafale (intégration 1 s); maximum horaire en km/h";"Raffica del vento (su un secondo); massima oraria in km/h";"Gust peak (one second); hourly maximum in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3010h3;"Böenspitze (3-Sekundenböe); Stundenmaximum in km/h";"Rafale (intégration 3 s); maximum horaire en km/h";"Raffica del vento (su tre secondi); massima oraria in km/h";"Gust peak (three seconds); hourly maximum in km/h";Wind;vent;vento;wind;H;1;Float;km/h
fu3010m0;"Windgeschwindigkeit skalar; Monatsmittel in km/h";"Vitesse du vent scalaire; moyenne mensuelle en km/h";"Velocità del vento scalare; media mensile in km/h";"Wind speed scalar; monthly mean in km/h";Wind;vent;vento;wind;M;1;Float;km/h
fu3010m1;"Böenspitze (Sekundenböe); Monatsmaximum in km/h";"Rafale (intégration 1 s); maximum mensuel en km/h";"Raffica del vento (su un secondo); massima mensile in km/h";"Gust peak (one second); monthly maximum in km/h";Wind;vent;vento;wind;M;1;Float;km/h
fu3010y0;"Windgeschwindigkeit skalar; Jahresmittel in km/h";"Vitesse du vent scalaire; moyenne annuelle en km/h";"Velocità del vento scalare; media annuale in km/h";"Wind speed scalar; annual mean in km/h";Wind;vent;vento;wind;Y;1;Float;km/h
fu3010y1;"Böenspitze (Sekundenböe); Jahresmaximum in km/h";"Rafale (intégration 1 s); maximum annuel en km/h";"Raffica del vento (su un secondo); massima annuale in km/h";"Gust peak (one second); annual maximum in km/h";Wind;vent;vento;wind;Y;1;Float;km/h
fu3010z0;"Windgeschwindigkeit; Zehnminutenmittel in km/h";"Vitesse du vent; moyenne sur 10 minutes en km/h";"Velocità del vento; media su 10' in km/h";"Wind speed; ten minutes mean in km/h";Wind;vent;vento;wind;T;1;Float;km/h
fu3010z1;"Böenspitze (Sekundenböe); Maximum in km/h";"Rafale (intégration 1 s); maximum en km/h";"Raffica del vento (su un secondo); massima in km/h";"Gust peak (one second); maximum in km/h";Wind;vent;vento;wind;T;1;Float;km/h
fu3010z3;"Böenspitze (3-Sekundenböe); Maximum in km/h";"Rafale (intégration 3 s); maximum en km/h";"Raffica del vento (su tre secondi); massima in km/h";"Gust peak (three seconds); maximum in km/h";Wind;vent;vento;wind;T;1;Float;km/h
fve010h0;"Windgeschwindigkeit vektoriell; Stundenmittel in m/s";"Vitesse du vent vectorielle; moyenne horaire en m/s";"Velocità del vento vettoriale; media oraria in m/s";"Wind speed vectorial; hourly mean in m/s";Wind;vent;vento;wind;H;1;Float;m/s
fve010z0;"Windgeschwindigkeit vektoriell; Zehnminutenmittel in m/s";"Vitesse du vent vectorielle; moyenne sur 10 minutes en m/s";"Velocità del vento vettoriale; media su 10' in m/s";"Wind speed vectoriel; ten minutes mean in m/s";Wind;vent;vento;wind;T;1;Float;m/s
gre000d0;"Globalstrahlung; Tagesmittel";"Rayonnement global; moyenne journalière";"Radiazione globale; media giornaliera";"Global radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
gre000h0;"Globalstrahlung; Stundenmittel";"Rayonnement global; moyenne horaire";"Radiazione globale; media oraria";"Global radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
gre000m0;"Globalstrahlung; Monatsmittel";"Rayonnement global; moyenne mensuelle";"Radiazione globale; media mensile";"Global radiation; monthly mean";Strahlung;rayonnement;radiazione;radiation;M;0;Integer;W/m²
gre000y0;"Globalstrahlung; Jahresmittel";"Rayonnement global; moyenne annuelle";"Radiazione globale; media annuale";"Global radiation; annual mean";Strahlung;rayonnement;radiazione;radiation;Y;0;Integer;W/m²
gre000z0;"Globalstrahlung; Zehnminutenmittel";"Rayonnement global; moyenne sur 10 minutes";"Radiazione globale; media su 10'";"Global radiation; ten minutes mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
htoautd0;"Schneehöhe (automatisch gemessen); Morgenmessung von 6 UTC";"Hauteur de neige (mesurée automatiquement); mesure matinale de 6 UTC";"Altezza del manto nevoso (misurazione automatica); misura delle 6 UTC";"Snow depth (automatic measurement); morning measurement at 6 UTC";Schnee;neige;neve;snow;D;0;Integer;cm
htoauths;"Schneehöhe (automatisch gemessen); stündlicher Momentanwert";"Hauteur de neige (mesurée automatiquement); valeur instantanée horaire";"Altezza del manto nevoso (misurazione automatica); valore momentaneo orario";"Snow depth (automatic measurement); hourly current value";Schnee;neige;neve;snow;H;0;Integer;cm
htoauts0;"Schneehöhe (automatisch gemessen); Momentanwert";"Hauteur de neige (mesurée automatiquement); valeur instantanée";"Altezza del manto nevoso (misurazione automatica); valore momentaneo";"Snow depth (automatic measurement); current value";Schnee;neige;neve;snow;T;0;Integer;cm
ods000d0;"Diffusstrahlung; Tagesmittel";"Rayonnement diffus; moyenne journalière";"Radiazione diffusa; media giornaliera";"Diffuse radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
ods000h0;"Diffusstrahlung; Stundenmittel";"Rayonnement diffus; moyenne horaire";"Radiazione diffusa; media oraria";"Diffuse radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
ods000z0;"Diffusstrahlung; Zehnminutenmittel";"Rayonnement diffus; moyenne sur 10 minutes";"Radiazione diffusa; media su 10'";"Diffuse radiation; ten minutes mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
oli000d0;"Langwellige Einstrahlung; Tagesmittel";"Irradiation par onde longue; moyenne journalière";"Radiazione a onda lunga in ingresso; media giornaliera";"Longwave incoming radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
oli000h0;"Langwellige Einstrahlung; Stundenmittel";"Irradiation par onde longue; moyenne horaire";"Radiazione a onda lunga in ingresso; media oraria";"Longwave incoming radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
oli000m0;"Langwellige Einstrahlung; Monatsmittel";"Irradiation par onde longue; moyenne mensuelle";"Radiazione a onda lunga in ingresso; media mensile";"Longwave incoming radiation; monthly mean";Strahlung;rayonnement;radiazione;radiation;M;0;Integer;W/m²
oli000y0;"Langwellige Einstrahlung; Jahresmittel";"Irradiation par onde longue; moyenne annuelle";"Radiazione a onda lunga in ingresso; media annuale";"Longwave incoming radiation; annual mean";Strahlung;rayonnement;radiazione;radiation;Y;0;Integer;W/m²
oli000z0;"Langwellige Einstrahlung; Zehnminutenmittel";"Irradiation par onde longue; moyenne sur 10 minutes";"Radiazione a onda lunga in ingresso; media su 10'";"Longwave incoming radiation; ten minutes mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
olo000d0;"Langwellige Ausstrahlung; Tagesmittel";"Rayonnement par onde longue; moyenne journalière";"Radiazione a onda lunga in uscita; media giornaliera";"Longwave outgoing radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
olo000h0;"Langwellige Ausstrahlung; Stundenmittel";"Rayonnement par onde longue; moyenne horaire";"Radiazione a onda lunga in uscita; media oraria";"Longwave outgoing radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
olo000m0;"Langwellige Ausstrahlung; Monatsmittel";"Rayonnement par onde longue; moyenne mensuelle";"Radiazione a onda lunga in uscita; media mensile";"Longwave outgoing radiation; monthly mean";Strahlung;rayonnement;radiazione;radiation;M;0;Integer;W/m²
olo000y0;"Langwellige Ausstrahlung; Jahresmittel";"Rayonnement par onde longue; moyenne annuelle";"Radiazione a onda lunga in uscita; media annuale";"Longwave outgoing radiation; yearly mean";Strahlung;rayonnement;radiazione;radiation;Y;0;Integer;W/m²
olo000z0;"Langwellige Ausstrahlung; Zehnminutenmittel";"Rayonnement par onde longue; moyenne sur 10 minutes";"Radiazione a onda lunga in uscita; media su 10'";"Longwave outgoing radiation; ten minute mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
osr000d0;"Kurzwellig reflektierte Strahlung; Tagesmittel";"Rayonnement reflété par onde courte; moyenne journalière";"Radiazione a onda corta rilflessa; media giornaliera";"Shortwave reflected radiation; daily mean";Strahlung;rayonnement;radiazione;radiation;D;0;Integer;W/m²
osr000h0;"Kurzwellig reflektierte Strahlung; Stundenmittel";"Rayonnement reflété par onde courte; moyenne horaire";"Radiazione a onda corta rilflessa; media oraria";"Shortwave reflected radiation; hourly mean";Strahlung;rayonnement;radiazione;radiation;H;0;Integer;W/m²
osr000m0;"Kurzwellig reflektierte Strahlung; Monatsmittel";"Rayonnement reflété par onde courte; moyenne mensuelle";"Radiazione a onda corta rilflessa; media mensile";"Shortwave reflected radiation; monthly mean";Strahlung;rayonnement;radiazione;radiation;M;0;Integer;W/m²
osr000y0;"Kurzwellig reflektierte Strahlung; Jahresmittel";"Rayonnement reflété par onde courte; moyenne annuelle";"Radiazione a onda corta rilflessa; media annuale";"Shortwave reflected radiation; yearly mean";Strahlung;rayonnement;radiazione;radiation;Y;0;Integer;W/m²
osr000z0;"Kurzwellig reflektierte Strahlung; Zehnminutenmittel";"Rayonnement reflété par onde courte; moyenne sur 10 minutes";"Radiazione a onda corta rilflessa; media su 10'";"Shortwave reflected radiation; ten minute mean";Strahlung;rayonnement;radiazione;radiation;T;0;Integer;W/m²
pp0qffd0;"Luftdruck reduziert auf Meeresniveau (QFF); Tagesmittel";"Pression atmosphérique réduite au niveau de la mer (QFF); moyenne journalière";"Pressione ridotta al livello del mare (QFF); media giornaliera";"Pressure reduced to sea level (QFF); daily mean";Druck;pression;pressione;pressure;D;1;Float;hPa
pp0qffh0;"Luftdruck reduziert auf Meeresniveau (QFF); Stundenmittel";"Pression atmosphérique réduite au niveau de la mer (QFF); moyenne horaire";"Pressione ridotta al livello del mare (QFF); media oraria";"Pressure reduced to sea level (QFF); hourly mean";Druck;pression;pressione;pressure;H;1;Float;hPa
pp0qffm0;"Luftdruck reduziert auf Meeresniveau (QFF); Monatsmittel";"Pression atmosphérique réduite au niveau de la mer (QFF); moyenne mensuelle";"Pressione ridotta al livello del mare (QFF); media mensile";"Pressure reduced to sea level (QFF); monthly mean";Druck;pression;pressione;pressure;M;1;Float;hPa
pp0qffs0;"Luftdruck reduziert auf Meeresniveau (QFF); Momentanwert";"Pression atmosphérique réduite au niveau de la mer (QFF); valeur instantanée";"Pressione ridotta al livello del mare (QFF); valore momentaneo";"Pressure reduced to sea level (QFF); current value";Druck;pression;pressione;pressure;T;1;Float;hPa
pp0qffy0;"Luftdruck reduziert auf Meeresniveau (QFF); Jahresmittel";"Pression atmosphérique réduite au niveau de la mer (QFF); moyenne annuelle";"Pressione ridotta al livello del mare (QFF); media annuale";"Pressure reduced to sea level (QFF); annual mean";Druck;pression;pressione;pressure;Y;1;Float;hPa
pp0qnhd0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Tagesmittel";"Pression atmosphérique réduite avec l'atmosphère standard (QNH); moyenne journalière";"Pressione ridotta secondo l'atmosfero standard (QNH); media giornaliera";"Pressure reduced to sea level according to standard atmosphere (QNH); daily mean";Druck;pression;pressione;pressure;D;1;Float;hPa
pp0qnhh0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Stundenmittel";"Pression atmosphérique réduite avec l'atmosphère standard (QNH); moyenne horaire";"Pressione ridotta secondo l'atmosfero standard (QNH); media oraria";"Pressure reduced to sea level according to standard atmosphere (QNH); hourly mean";Druck;pression;pressione;pressure;H;1;Float;hPa
pp0qnhm0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Monatsmittel";"Pression atmosphérique réduite avec l'atmosphère standard (QNH); moyenne mensuelle";"Pressione ridotta secondo l'atmosfero standard (QNH); media mensile";"Pressure reduced to sea level according to standard atmosphere (QNH); monthly mean";Druck;pression;pressione;pressure;M;1;Float;hPa
pp0qnhs0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Momentanwert";"Pression atmosphérique réduite avec l'atmosphère standard (QNH); valeur instantanée";"Pressione ridotta secondo l'atmosfero standard (QNH); valore momentano";"Pressure reduced to sea level according to standard atmosphere (QNH); current value";Druck;pression;pressione;pressure;T;1;Float;hPa
pp0qnhy0;"Luftdruck reduziert auf Meeresniveau mit Standardatmosphäre (QNH); Jahresmittel";"Pression atmosphérique réduite avec l'atmosphère standard (QNH); moyenne annuelle";"Pressione ridotta secondo l'atmosfero standard (QNH); media annuale";"Pressure reduced to sea level according to standard atmosphere (QNH); annual mean";Druck;pression;pressione;pressure;Y;1;Float;hPa
ppz700d0;"Geopotentielle Höhe der 700 hPa-Fläche; Tagesmittel";"Altitude géopotentielle de la surface de 700 hPa; moyenne journalière";"Altitudine geopotenziale del livello di 700 hPa; media giornaliera";"Geopotential height of the 700 hPA level; daily mean";Druck;pression;pressione;pressure;D;1;Float;gpm
ppz700h0;"Geopotentielle Höhe der 700 hPa-Fläche; Stundenmittel";"Altitude géopotentielle de la surface de 700 hPa; moyenne horaire";"Altitudine geopotenziale del livello di 700 hPa; media oraria";"Geopotential height of the 700 hPA level; hourly mean";Druck;pression;pressione;pressure;H;1;Float;gpm
ppz700m0;"Geopotentielle Höhe der 700 hPa-Fläche; Monatsmittel";"Altitude géopotentielle de la surface de 700 hPa; moyenne mensuelle";"Altitudine geopotenziale del livello di 700 hPa; media mensile";"Geopotential height of the 700 hPA level; monthly mean";Druck;pression;pressione;pressure;M;1;Float;gpm
ppz700s0;"Geopotentielle Höhe der 700 hPa-Fläche; Momentanwert";"Altitude géopotentielle de la surface de 700 hPa; valeur instantanée";"Altitudine geopotenziale del livello di 700 hPa; valore momentaneo";"Geopotential height of the 700 hPA level; current value";Druck;pression;pressione;pressure;T;1;Float;gpm
ppz700y0;"Geopotentielle Höhe der 700 hPa-Fläche; Jahresmittel";"Altitude géopotentielle de la surface de 700 hPa; moyenne annuelle";"Altitudine geopotenziale del livello di 700 hPa; media annuale";"Geopotential height of the 700 hPA level; yearly mean";Druck;pression;pressione;pressure;Y;1;Float;gpm
ppz850d0;"Geopotentielle Höhe der 850 hPa-Fläche; Tagesmittel";"Altitude géopotentielle de la surface de 850 hPa; moyenne journalière";"Altitudine geopotenziale del livello di 850 hPa; media giornaliera";"Geopotential height of the 850 hPA level; daily mean";Druck;pression;pressione;pressure;D;1;Float;gpm
ppz850h0;"Geopotentielle Höhe der 850 hPa-Fläche; Stundenmittel";"Altitude géopotentielle de la surface de 850 hPa; moyenne horaire";"Altitudine geopotenziale del livello di 850 hPa; media oraria";"Geopotential height of the 850 hPA level; hourly mean";Druck;pression;pressione;pressure;H;1;Float;gpm
ppz850m0;"Geopotentielle Höhe der 850 hPa-Fläche; Monatsmittel";"Altitude géopotentielle de la surface de 850 hPa; moyenne mensuelle";"Altitudine geopotenziale del livello di 850 hPa; media mensile";"Geopotential height of the 850 hPA level; monthly mean";Druck;pression;pressione;pressure;M;1;Float;gpm
ppz850s0;"Geopotentielle Höhe der 850 hPa-Fläche; Momentanwert";"Altitude géopotentielle de la surface de 850 hPa; valeur instantanée";"Altitudine geopotenziale del livello di 850 hPa; valore momentaneo";"Geopotential height of the 850 hPA level; current value";Druck;pression;pressione;pressure;T;1;Float;gpm
ppz850y0;"Geopotentielle Höhe der 850 hPa-Fläche; Jahresmittel";"Altitude géopotentielle de la surface de 850 hPa; moyenne annuelle";"Altitudine geopotenziale del livello di 850 hPa; media annuale";"Geopotential height of the 850 hPA level; yearly mean";Druck;pression;pressione;pressure;Y;1;Float;gpm
prestad0;"Luftdruck auf Barometerhöhe (QFE); Tagesmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne journalière";"Pressione all'altitudine barometrica (QFE); media giornaliera";"Atmospheric pressure at barometric altitude (QFE); daily mean";Druck;pression;pressione;pressure;D;1;Float;hPa
prestah0;"Luftdruck auf Barometerhöhe (QFE); Stundenmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne horaire";"Pressione all'altitudine barometrica (QFE); media oraria";"Atmospheric pressure at barometric altitude (QFE); hourly mean";Druck;pression;pressione;pressure;H;1;Float;hPa
prestam0;"Luftdruck auf Barometerhöhe (QFE); Monatsmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne mensuelle";"Pressione all'altitudine barometrica (QFE); media mensile";"Atmospheric pressure at barometric altitude (QFE); monthly mean";Druck;pression;pressione;pressure;M;1;Float;hPa
prestas0;"Luftdruck auf Barometerhöhe (QFE); Momentanwert";"Pression atmosphérique à l'altitude du baromètre (QFE); valeur instantanée";"Pressione all'altitudine barometrica (QFE); valore momentaneo";"Atmospheric pressure at barometric altitude (QFE); current value";Druck;pression;pressione;pressure;T;1;Float;hPa
prestay0;"Luftdruck auf Barometerhöhe (QFE); Jahresmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne annuelle";"Pressione all'altitudine barometrica (QFE); media annuale";"Atmospheric pressure at barometric altitude (QFE); annual mean";Druck;pression;pressione;pressure;Y;1;Float;hPa
pva200d0;"Dampfdruck 2 m über Boden; Tagesmittel";"Pression de vapeur à 2 m du sol; moyenne journalière";"Pressione del vapore acqueo a 2 m dal suolo; media giornaliera";"Vapour pressure 2 m above ground; daily mean";Feuchte;humidité;umidità;humidity;D;1;Float;hPa
pva200h0;"Dampfdruck 2 m über Boden; Stundenmittel";"Pression de vapeur à 2 m du sol; moyenne horaire";"Pressione del vapore acqueo a 2 m dal suolo; media oraria";"Vapour pressure 2 m above ground; hourly mean";Feuchte;humidité;umidità;humidity;H;1;Float;hPa
pva200m0;"Dampfdruck 2 m über Boden; Monatsmittel";"Pression de vapeur à 2 m du sol; moyenne mensuelle";"Pressione del vapore acqueo a 2 m dal suolo; media mensile";"Vapour pressure 2 m above ground; monthly mean";Feuchte;humidité;umidità;humidity;M;1;Float;hPa
pva200s0;"Dampfdruck 2 m über Boden; Momentanwert";"Pression de vapeur à 2 m du sol; valeur instantanée";"Pressione del vapore acqueo a 2 m dal suolo; valore momentaneo";"Vapour pressure 2 m above ground; current value";Feuchte;humidité;umidità;humidity;T;1;Float;hPa
pva200y0;"Dampfdruck 2 m über Boden; Jahresmittel";"Pression de vapeur à 2 m du sol; moyenne annuelle";"Pressione del vapore acqueo a 2 m dal suolo; media annuale";"Vapour pressure 2 m above ground; annual mean";Feuchte;humidité;umidità;humidity;Y;1;Float;hPa
rka150d0;"Niederschlag; Tagessumme 0 UTC - 0 UTC";"Précipitations; somme du jour 0 UTC - 0 UTC";"Precipitazioni; somma giornaliera 0 UTC - 0 UTC";"Precipitation; daily total 0 UTC - 0 UTC";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rre150d0;"Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag";"Précipitations; somme journalière 6 UTC - 6 UTC du jour suivant";"Precipitazioni; somma giornaliera 6 UTC - 6 UTC del giorno seguente";"Precipitation; daily total 6 UTC - 6 UTC following day";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rre150h0;"Niederschlag; Stundensumme";"Précipitations; somme horaire";"Precipitazioni; somma oraria";"Precipitation; hourly total";Niederschlag;précipitations;precipitazioni;precipitation;H;1;Float;mm
rre150m0;"Niederschlag; Monatssumme";"Précipitations; somme mensuelle";"Precipitazioni; somma mensile";"Precipitation; monthly total";Niederschlag;précipitations;precipitazioni;precipitation;M;1;Float;mm
rre150y0;"Niederschlag; Jahressumme";"Précipitations; somme annuelle";"Precipitazioni; somma annuale";"Precipitation; annual total";Niederschlag;précipitations;precipitazioni;precipitation;Y;1;Float;mm
rre150z0;"Niederschlag; Zehnminutensumme";"Précipitations; sommation sur 10 minutes";"Precipitazioni; somma su 10'";"Precipitation; ten minutes total";Niederschlag;précipitations;precipitazioni;precipitation;T;1;Float;mm
rreetsd0;"Wassereintrag (Wasserbilanz, R-ETS); Tagessumme";"Apport d'eau (bilan hydrique, R-ETS); somme journalière";"Registrazione idrica (bilancio idrico, R-ETS); somma giornaliera";"Hydrologic registration (hydrologic balance, R-ETS); daily total";Niederschlag;précipitations;precipitazioni;precipitation;D;1;Float;mm
rreetsm0;"Wassereintrag (Wasserbilanz, R-ETS); Monatssumme";"Apport d'eau (bilan hydrique, R-ETS); somme mensuelle";"Registrazione idrica (bilancio idrico, R-ETS); somma mensile";"Hydrologic registration (hydrologic balance, R-ETS); monthly total";Niederschlag;précipitations;precipitazioni;precipitation;M;1;Float;mm
rreetsy0;"Wassereintrag (Wasserbilanz, R-ETS); Jahressumme";"Apport d'eau (bilan hydrique, R-ETS); somme annuelle";"Registrazione idrica (bilancio idrico, R-ETS); somma annuale";"Hydrologic registration (hydrologic balance, R-ETS); annual total";Niederschlag;précipitations;precipitazioni;precipitation;Y;1;Float;mm
sre000d0;"Sonnenscheindauer; Tagessumme";"Durée d'ensoleillement; somme journalière";"Soleggiamento; somma giornaliera";"Sunshine duration; daily total";Sonne;ensoleillement;soleggiamento;sunshine;D;0;Integer;min
sre000h0;"Sonnenscheindauer; Stundensumme";"Durée d'ensoleillement; somme horaire";"Soleggiamento; somma oraria";"Sunshine duration; hourly total";Sonne;ensoleillement;soleggiamento;sunshine;H;0;Integer;min
sre000m0;"Sonnenscheindauer; Monatssumme";"Durée d'ensoleillement; somme mensuelle";"Soleggiamento; somma mensile";"Sunshine duration; monthly total";Sonne;ensoleillement;soleggiamento;sunshine;M;0;Integer;min
